ward,price,size_sqm,age_years,station_distance_m,floor,earthquake_safety_score,layout,Price_per_sqm,Price_segment,Walking_time,,,,,,,,,,,,,,,,
Shibuya,85000000,85,5,350,8,85,3LDK,1000000,Premium,4.375,,,,,,,,,,,,,,,,
Minato,65000000,65,15,800,5,75,2LDK,1000000,Standard,10,,,,,,,,,,,,,,,,
Chiyoda,120000000,120,2,200,12,90,4LDK,1000000,Premium,2.5,,,,,,,,,,,,,,,,
Shinjuku,45000000,45,25,600,3,65,1LDK,1000000,Standard,7.5,,,,,,,,,,,,,,,,
Meguro,95000000,95,8,450,10,80,3LDK,1000000,Premium,5.625,,,,,,,,,,,,,,,,
Shibuya,78000000,78,7,380,7,82,3LDK,1000000,Standard,4.75,,,,,,,,,,,,,,,,
Minato,110000000,105,3,250,15,88,4LDK,1047619.048,Premium,3.125,,,,,,,,,,,,,,,,
Chiyoda,135000000,130,1,150,20,92,4LDK,1038461.538,Premium,1.875,,,,,,,,,,,,,,,,
Shinjuku,55000000,55,20,550,4,70,2LDK,1000000,Standard,6.875,,,,,,,,,,,,,,,,
Meguro,82000000,82,10,420,9,78,3LDK,1000000,Premium,5.25,,,,,,,,,,,,,,,,
Setagaya ,68000000,68,12,500,6,72,2LDK,1000000,Standard,6.25,,,,,,,,,,,,,,,,
Shibuya,92000000,88,4,320,11,84,3LDK,1045454.545,Premium,4,,,,,,,,,,,,,,,,
Minato,125000000,115,2,180,18,89,4LDK,1086956.522,Premium,2.25,,,,,,,,,,,,,,,,
Chiyoda,140000000,135,1,120,22,93,5LDK,1037037.037,Premium,1.5,,,,,,,,,,,,,,,,
Shinjuku,48000000,48,22,580,3,68,1LDK,1000000,Standard,7.25,,,,,,,,,,,,,,,,
Meguro,88000000,90,6,400,12,81,3LDK,977777.7778,Premium,5,,,,,,,,,,,,,,,,
Setagaya,72000000,72,8,480,7,75,2LDK,1000000,Standard,6,,,,,,,,,,,,,,,,
Shibuya,81000000,80,6,360,8,83,3LDK,1012500,Premium,4.5,,,,,,,,,,,,,,,,
Minato,98000000,95,4,280,14,87,3LDK,1031578.947,Premium,3.5,,,,,,,,,,,,,,,,
Chiyoda,128000000,125,1,170,19,91,4LDK,1024000,Premium,2.125,,,,,,,,,,,,,,,,
Shinjuku,52000000,52,18,520,5,69,2LDK,1000000,Standard,6.5,,,,,,,,,,,,,,,,
Meguro,91000000,92,7,430,11,82,3LDK,989130.4348,Premium,5.375,,,,,,,,,,,,,,,,
Setagaya,75000000,75,10,470,8,76,2LDK,1000000,Standard,5.875,,,,,,,,,,,,,,,,
Shibuya,89000000,86,5,340,9,85,3LDK,1034883.721,Premium,4.25,,,,,,,,,,,,,,,,
Minato,115000000,110,3,230,16,88,4LDK,1045454.545,Premium,2.875,,,,,,,,,,,,,,,,
Chiyoda,132000000,128,1,140,21,92,4LDK,1031250,Premium,1.75,,,,,,,,,,,,,,,,
Shinjuku,47000000,47,24,590,3,67,1LDK,1000000,Standard,7.375,,,,,,,,,,,,,,,,
Meguro,84000000,84,9,410,10,79,3LDK,1000000,Premium,5.125,,,,,,,,,,,,,,,,
Setagaya,69000000,70,11,490,6,73,2LDK,985714.2857,Standard,6.125,,,,,,,,,,,,,,,,
Shibuya,83000000,82,6,370,8,84,3LDK,1012195.122,Premium,4.625,,,,,,,,,,,,,,,,
Minato,105000000,100,4,260,13,86,3LDK,1050000,Premium,3.25,,,,,,,,,,,,,,,,
Chiyoda,138000000,132,1,130,20,93,5LDK,1045454.545,Premium,1.625,,,,,,,,,,,,,,,,
Shinjuku,53000000,53,19,530,4,70,2LDK,1000000,Standard,6.625,,,,,,,,,,,,,,,,
Meguro,87000000,88,7,440,11,80,3LDK,988636.3636,Premium,5.5,,,,,,,,,,,,,,,,
Setagaya,71000000,71,9,460,7,74,2LDK,1000000,Standard,5.75,,,,,,,,,,,,,,,,0
Shibuya,86000000,84,5,330,10,85,3LDK,1023809.524,Premium,4.125,,,,,,,,,,,,,,,,
Minato,121000000,112,2,190,17,89,4LDK,1080357.143,Premium,2.375,,,,,,,,,,,,,,,,
Chiyoda,142000000,138,1,110,23,94,5LDK,1028985.507,Premium,1.375,,,,,,,,,,,,,,,,
Shinjuku,49000000,49,23,570,3,68,1LDK,1000000,Standard,7.125,,,,,,,,,,,,,,,,
Meguro,93000000,94,8,390,13,82,3LDK,989361.7021,Premium,4.875,,,,,,,,,,,,,,,,
Setagaya,73000000,73,7,450,8,75,2LDK,1000000,Standard,5.625,,,,,,,,,,,,,,,,
Shibuya,80000000,79,7,390,7,83,3LDK,1012658.228,Standard,4.875,,,,,,,,,,,,,,,,
Minato,108000000,108,3,240,14,87,4LDK,1000000,Premium,3,,,,,,,,,,,,,,,,
Chiyoda,130000000,126,1,160,18,91,4LDK,1031746.032,Premium,2,,,,,,,,,,,,,,,,
Shinjuku,51000000,51,20,540,4,69,2LDK,1000000,Standard,6.75,,,,,,,,,,,,,,,,
Meguro,85000000,87,10,430,9,78,3LDK,977011.4943,Premium,5.375,,,,,,,,,,,,,,,,
Setagaya,70000000,69,12,510,5,72,2LDK,1014492.754,Standard,6.375,,,,,,,,,,,,,,,,
Shibuya,94000000,90,4,310,12,86,3LDK,1044444.444,Premium,3.875,,,,,,,,,,,,,,,,
Minato,118000000,118,2,210,15,88,4LDK,1000000,Premium,2.625,,,,,,,,,,,,,,,,
Chiyoda,136000000,131,1,145,19,92,4LDK,1038167.939,Premium,1.8125,,,,,,,,,,,,,,,,
